date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Upper Band,Real Lower Band
2021-06-23 16:45:00,265.17,265.21,265.11,265.21,4662.0,-0.1356,265.2092,47.8572,265.2092,265.5828,264.8356
2021-06-23 17:00:00,265.2199,265.2199,265.19,265.19,369.0,-0.0603,265.2012,47.5833,265.2012,265.5692,264.8332
2021-06-23 17:15:00,265.24,265.24,265.21,265.23,963.0,0.0792,265.2117,48.2074,265.2117,265.5703,264.8531
2021-06-23 17:30:00,265.23,265.23,265.16,265.2,1669.0,0.0935,265.2241,47.7585,265.2241,265.5625,264.8857
2021-06-23 17:45:00,265.23,265.24,265.18,265.2,1978.0,0.0981,265.2371,47.7585,265.2371,265.5498,264.9243
2021-06-23 18:00:00,265.25,265.25,265.18,265.1801,1604.0,0.095,265.2497,47.4339,265.2497,265.5304,264.9689
2021-06-23 18:15:00,265.25,265.36,265.25,265.36,2385.0,0.0603,265.2577,50.6275,265.2577,265.5414,264.974
2021-06-23 18:30:00,265.31,265.31,265.28,265.28,562.0,-0.0829,265.2467,49.2275,265.2467,265.5081,264.9852
2021-06-23 19:00:00,265.36,265.36,265.34,265.34,450.0,0.0679,265.2557,50.3122,265.2557,265.5169,264.9944
2021-06-23 19:15:00,265.27,265.27,265.27,265.27,300.0,-0.0038,265.2552,49.0259,265.2552,265.5163,264.994
2021-06-23 19:30:00,265.28,265.28,265.28,265.28,543.0,0.0641,265.2637,49.2211,265.2637,265.5163,265.011
2021-06-23 19:45:00,265.34,265.39,265.34,265.39,792.0,0.1736,265.2867,51.3773,265.2867,265.4931,265.0802
2021-06-23 20:00:00,265.35,265.405,265.35,265.405,1344.0,0.0535,265.2938,51.6719,265.2938,265.5062,265.0814
2021-06-24 04:15:00,265.87,265.87,265.87,265.87,313.0,0.2356,265.325,59.6488,265.325,265.6523,264.9977
2021-06-24 04:30:00,266.13,266.5,266.03,266.22,1114.0,0.3354,265.3695,64.3154,265.3695,265.8788,264.8602
2021-06-24 04:45:00,266.6,266.6,266.42,266.42,1487.0,0.3201,265.412,66.6363,265.412,266.0938,264.7302
2021-06-24 05:30:00,266.88,267.0,266.88,266.88,1803.0,0.5198,265.481,71.1752,265.481,266.4166,264.5454
2021-06-24 05:45:00,266.81,266.88,266.81,266.87,1619.0,0.6032,265.561,70.9543,265.561,266.6685,264.4535
2021-06-24 06:00:00,266.95,266.99,266.79,266.79,5389.0,0.5711,265.6368,69.1472,265.6368,266.8572,264.4163
2021-06-24 06:15:00,267.0,267.0,267.0,267.0,772.0,0.6977,265.7293,71.1757,265.7293,267.0632,264.3953
2021-06-24 06:30:00,267.0,267.0,266.8,266.8,805.0,0.5995,265.8088,66.7745,265.8088,267.1978,264.4197
2021-06-24 06:45:00,266.8,266.8,266.8,266.8,279.0,0.6071,265.8893,66.7745,265.8893,267.3118,264.4667
2021-06-24 07:15:00,266.75,266.79,266.5,266.5,4865.0,0.4788,265.9528,60.5513,265.9528,267.3653,264.5403
2021-06-24 07:30:00,266.43,266.66,266.4,266.66,1835.0,0.5505,266.0258,62.5127,266.0258,267.4259,264.6256
2021-06-24 07:45:00,266.55,266.66,266.55,266.63,1820.0,0.5392,266.0973,61.9052,266.0973,267.4672,264.7273
2021-06-24 08:00:00,266.63,266.63,266.57,266.62,1800.0,0.543,266.1693,61.6948,266.1693,267.4893,264.8492
2021-06-24 08:15:00,266.6001,266.9,266.5001,266.85,11194.0,0.5615,266.2438,64.6067,266.2438,267.5406,264.9469
2021-06-24 08:30:00,266.8,266.85,266.7,266.7,3359.0,0.5353,266.3148,61.4024,266.3148,267.5467,265.0828
2021-06-24 08:45:00,266.6,266.71,266.48,266.65,7709.0,0.4937,266.3803,60.3521,266.3803,267.5348,265.2257
2021-06-24 09:00:00,266.59,266.61,266.42,266.53,7327.0,0.475,266.4433,57.8522,266.4433,267.4801,265.4064
2021-06-24 09:15:00,266.5,266.58,266.5,266.58,4966.0,0.49,266.5083,58.6042,266.5083,267.3978,265.6187
2021-06-24 09:30:00,266.58,266.7,265.78,265.96,25236.0,0.2148,266.5368,47.5335,266.5368,267.31,265.7635
2021-06-24 09:45:00,266.16,267.44,265.47,267.2588,1806575.0,0.6985,266.6294,62.962,266.6294,267.2711,265.9878
2021-06-24 10:00:00,267.26,267.35,266.27,266.81,856888.0,0.3536,266.6764,56.8782,266.6764,267.2187,266.1342
2021-06-24 10:15:00,266.79,267.0,266.4,266.82,953414.0,0.2254,266.7064,56.9757,266.7064,267.2093,266.2035
2021-06-24 10:30:00,266.83,267.34,266.8102,267.3399,792796.0,0.3453,266.7524,61.7135,266.7524,267.3077,266.1972
2021-06-24 10:45:00,267.33,267.55,267.13,267.28,672175.0,0.1499,266.7724,60.9002,266.7724,267.3717,266.1732
2021-06-24 11:00:00,267.29,267.29,266.5302,266.8419,980424.0,-0.0105,266.771,55.2902,266.771,267.3695,266.1726
2021-06-24 11:15:00,266.85,267.05,266.7,267.025,810719.0,0.0881,266.7828,57.0316,266.7828,267.3914,266.1742
2021-06-24 11:30:00,267.04,267.34,266.95,267.21,549305.0,0.0787,266.7933,58.7406,266.7933,267.4234,266.1632
2021-06-24 11:45:00,267.23,267.275,266.81,266.93,482714.0,0.0487,266.7998,55.2402,266.7998,267.4327,266.1668
2021-06-24 12:00:00,266.93,267.19,266.86,267.1518,400934.0,0.1319,266.8174,57.359,266.8174,267.4686,266.1661
2021-06-24 12:15:00,267.14,267.85,267.11,267.82,585318.0,0.4953,266.8834,62.9246,266.8834,267.6499,266.1168
2021-06-24 12:30:00,267.82,267.823,267.43,267.45,410623.0,0.2963,266.9229,58.4759,266.9229,267.7201,266.1256
2021-06-24 12:45:00,267.44,267.4898,267.23,267.25,450609.0,0.2325,266.9539,56.2145,266.9539,267.7514,266.1563
2021-06-24 13:00:00,267.25,267.32,266.35,266.425,754480.0,-0.0731,266.9441,48.1324,266.9441,267.7622,266.126
2021-06-24 13:15:00,266.435,266.76,266.38,266.7468,435681.0,-0.0387,266.939,51.0235,266.939,267.7607,266.1172
2021-06-24 13:30:00,266.73,266.7657,266.2,266.58,445177.0,-0.045,266.933,49.5175,266.933,267.7633,266.1026
2021-06-24 13:45:00,266.58,266.58,266.22,266.28,430476.0,-0.1388,266.9145,46.8969,266.9145,267.7847,266.0442
2021-06-24 14:00:00,266.29,266.535,266.2,266.42,518808.0,-0.0413,266.909,48.2425,266.909,267.7902,266.0278
2021-06-24 14:15:00,266.425,266.56,266.34,266.39,308203.0,-0.0713,266.8995,47.9683,266.8995,267.7986,266.0004
2021-06-24 14:30:00,266.37,266.49,266.24,266.41,294898.0,0.1692,266.922,48.175,266.922,267.7452,266.0987
2021-06-24 14:45:00,266.41,266.605,266.32,266.58,307286.0,-0.254,266.888,49.9537,266.888,267.7089,266.0671
2021-06-24 15:00:00,266.58,266.59,266.335,266.46,325685.0,-0.1312,266.8705,48.7115,266.8705,267.712,266.0291
2021-06-24 15:15:00,266.45,266.58,266.34,266.53,365981.0,-0.1087,266.856,49.4828,266.856,267.7104,266.0017
2021-06-24 15:30:00,266.5259,266.54,266.15,266.2382,385528.0,-0.4121,266.8009,46.4194,266.8009,267.6654,265.9365
2021-06-24 15:45:00,266.24,266.68,266.085,266.68,782469.0,-0.2245,266.7709,51.2312,266.7709,267.608,265.9339
2021-06-24 16:00:00,266.68,266.98,266.41,266.64,1532067.0,-0.0757,266.7608,50.7965,266.7608,267.5991,265.9226
2021-06-24 16:15:00,266.69,266.73,266.5,266.69,750109.0,-0.1255,266.7441,51.3398,266.7441,267.5739,265.9143
2021-06-24 16:30:00,266.72,266.73,266.71,266.71,937.0,-0.1871,266.7191,51.565,266.7191,267.5209,265.9173
2021-06-24 16:45:00,266.71,267.22,266.71,267.22,127331.0,0.1086,266.7336,56.9171,266.7336,267.5603,265.9069
2021-06-24 17:00:00,267.13,267.13,266.95,267.0,5636.0,-0.0568,266.726,54.1977,266.726,267.5399,265.9121
2021-06-24 17:15:00,267.1,267.1,266.93,266.93,3159.0,-0.3323,266.6815,53.3441,266.6815,267.3322,266.0308
2021-06-24 17:30:00,266.76,266.76,266.76,266.76,508.0,-0.258,266.647,51.2794,266.647,267.1963,266.0977
2021-06-24 17:45:00,267.0,267.0,266.85,266.85,698.0,-0.1497,266.627,52.3081,266.627,267.1125,266.1415
2021-06-24 18:00:00,266.89,267.18,266.89,267.18,1267.0,0.2834,266.6648,55.9017,266.6648,267.1967,266.1328
2021-06-24 18:15:00,266.97,266.99,266.85,266.9,1309.0,0.0574,266.6724,52.3768,266.6724,267.2132,266.1316
2021-06-24 18:30:00,266.99,266.99,266.85,266.85,2003.0,0.1013,266.6859,51.7633,266.6859,267.2303,266.1415
2021-06-24 18:45:00,266.82,267.0,266.75,266.98,2338.0,0.2629,266.7209,53.2616,266.7209,267.2461,266.1958
2021-06-24 19:00:00,266.9,267.14,266.9,267.14,955.0,0.2702,266.7569,55.0698,266.7569,267.2932,266.2206
2021-06-24 19:15:00,267.12,267.14,267.08,267.14,1468.0,0.2815,266.7944,55.0698,266.7944,267.3277,266.2611
2021-06-24 19:45:00,267.0,267.0,267.0,267.0,205.0,0.2215,266.8239,53.0789,266.8239,267.3337,266.3142
2021-06-24 20:00:00,266.98,266.98,266.86,266.98,2229.0,0.15,266.8439,52.7919,266.8439,267.3451,266.3427
2021-06-25 04:15:00,267.0,267.01,267.0,267.01,318.0,0.2064,266.8714,53.1915,266.8714,267.3449,266.3979
2021-06-25 04:30:00,267.5,267.5,267.5,267.5,407.0,0.3639,266.9199,59.1385,266.9199,267.44,266.3998
2021-06-25 05:00:00,267.36,267.36,267.36,267.36,328.0,0.4214,266.976,56.962,266.976,267.4274,266.5246
2021-06-25 05:15:00,267.27,267.27,267.0,267.0,493.0,0.12,266.992,51.8015,266.992,267.4225,266.5615
2021-06-25 05:30:00,267.0,267.0,266.84,266.84,723.0,0.075,267.002,49.6953,267.002,267.4079,266.5961
2021-06-25 06:00:00,267.23,267.23,267.23,267.23,118.0,0.2025,267.029,54.4475,267.029,267.4198,266.6382
2021-06-25 06:15:00,267.48,267.49,267.48,267.49,600.0,0.2925,267.068,57.2797,267.068,267.4789,266.6571
2021-06-25 06:30:00,267.43,267.43,267.39,267.39,589.0,0.0636,267.0765,55.8733,267.0765,267.5062,266.6468
2021-06-25 06:45:00,267.37,267.37,267.37,267.37,344.0,0.1386,267.095,55.5859,267.095,267.5415,266.6485
2021-06-25 07:00:00,267.4,267.4,267.31,267.31,354.0,0.1424,267.114,54.6977,267.114,267.5631,266.6649
2021-06-25 07:15:00,267.38,267.38,267.2,267.2,4709.0,0.1649,267.136,53.0613,267.136,267.5557,266.7163
2021-06-25 07:30:00,267.1,267.28,267.04,267.25,3261.0,0.1499,267.156,53.7237,267.156,267.557,266.755
2021-06-25 07:45:00,267.23,267.23,267.0,267.04,4387.0,-0.0524,267.149,50.5688,267.149,267.553,266.745
2021-06-25 08:00:00,267.08,267.08,266.82,266.85,5753.0,-0.0187,267.1465,47.8903,267.1465,267.5572,266.7358
2021-06-25 08:15:00,267.31,267.4,266.88,266.95,6663.0,0.0375,267.1515,49.3759,267.1515,267.5499,266.7531
2021-06-25 08:30:00,267.0,267.0,266.67,266.67,9129.0,-0.1161,267.136,45.5487,267.136,267.5812,266.6908
2021-06-25 08:45:00,266.9,267.4,266.9,267.07,9722.0,-0.0262,267.1325,51.2329,267.1325,267.5786,266.6864
2021-06-25 09:00:00,267.19,267.19,266.79,266.9,7842.0,-0.0898,267.1205,48.947,267.1205,267.5779,266.6631
2021-06-25 09:15:00,267.03,267.03,266.54,266.54,8238.0,-0.1723,267.0975,44.5193,267.0975,267.6187,266.5763
2021-06-25 09:30:00,266.62,266.95,265.95,266.49,40700.0,-0.1835,267.073,43.9382,267.073,267.6563,266.4897
2021-06-25 09:45:00,266.23,267.25,265.76,266.3962,1553696.0,-0.2299,267.0423,42.8341,267.0423,267.696,266.3886
2021-06-25 10:00:00,266.42,266.57,265.6,265.785,853410.0,-0.6411,266.9566,36.5371,266.9566,267.7764,266.1367
2021-06-25 10:15:00,265.77,265.99,264.9154,265.37,784499.0,-0.7443,266.8571,33.063,266.8571,267.9075,265.8066
2021-06-25 10:30:00,265.37,265.9,265.33,265.87,514691.0,-0.4232,266.8006,40.2661,266.8006,267.9326,265.6685
2021-06-25 10:45:00,265.87,266.1172,265.63,265.79,424817.0,-0.3935,266.7481,39.5493,266.7481,267.9623,265.5338
2021-06-25 11:00:00,265.79,265.85,265.4956,265.73,401677.0,-0.5613,266.6731,39.0012,266.6731,267.943,265.4031
2021-06-25 11:15:00,265.73,266.01,265.51,265.98,339015.0,-0.5645,266.5976,42.4965,266.5976,267.8436,265.3516
2021-06-25 11:30:00,265.98,266.06,265.775,265.9907,268715.0,-0.5233,266.5276,42.6446,266.5276,267.7446,265.3106
2021-06-25 11:45:00,266.01,266.26,265.94,266.005,325467.0,-0.5105,266.4593,42.8516,266.4593,267.632,265.2867
2021-06-25 12:00:00,266.0,266.03,265.82,265.835,215268.0,-0.5518,266.3856,40.9998,266.3856,267.5198,265.2513
2021-06-25 12:15:00,265.8286,265.83,265.565,265.63,250935.0,-0.5876,266.3071,38.8678,266.3071,267.4222,265.192
2021-06-25 12:30:00,265.62,265.66,265.15,265.34,377914.0,-0.7147,266.2116,36.0744,266.2116,267.3144,265.1088
2021-06-25 12:45:00,265.35,265.35,265.13,265.25,345838.0,-0.6703,266.1221,35.2468,266.1221,267.232,265.0122
2021-06-25 13:00:00,265.26,265.2899,265.07,265.13,308826.0,-0.6446,266.0361,34.1474,266.0361,267.1732,264.8989
2021-06-25 13:15:00,265.12,265.1918,264.9,264.9399,423767.0,-0.753,265.9356,32.4591,265.9356,267.0871,264.7841
2021-06-25 13:30:00,264.93,265.11,264.89,265.005,330892.0,-0.6244,265.8523,33.6418,265.8523,267.0201,264.6846
2021-06-25 13:45:00,265.0,265.01,264.76,264.98,376581.0,-0.7826,265.7478,33.4053,265.7478,266.8321,264.6636
2021-06-25 14:00:00,264.99,265.38,264.98,265.31,350999.0,-0.5957,265.6683,39.3304,265.6683,266.6291,264.7075
2021-06-25 14:15:00,265.32,265.48,265.16,265.34,404205.0,-0.4502,265.6083,39.8426,265.6083,266.4906,264.7261
2021-06-25 14:30:00,265.35,265.71,265.35,265.555,319964.0,-0.3509,265.5616,43.4444,265.5616,266.3456,264.7776
2021-06-25 14:45:00,265.56,265.9,265.525,265.86,260576.0,-0.2013,265.5348,48.0859,265.5348,266.235,264.8345
2021-06-25 15:00:00,265.86,265.94,265.755,265.82,343537.0,0.0132,265.5365,47.5472,265.5365,266.2394,264.8336
2021-06-25 15:15:00,265.83,265.94,265.71,265.73,346311.0,0.1357,265.5545,46.3182,265.5545,266.2579,264.8512
2021-06-25 15:30:00,265.73,265.9,265.573,265.6401,357828.0,-0.0865,265.543,45.0927,265.543,266.2328,264.8533
2021-06-25 15:45:00,265.64,265.78,265.45,265.45,555286.0,-0.1279,265.526,42.5848,265.526,266.2073,264.8448
2021-06-25 16:00:00,265.445,266.3,264.9,265.02,2906681.0,-0.2672,265.4905,37.605,265.4905,266.199,264.782
